username,video_id,title,webpage_url,upload_date,timestamp,duration,view_count,like_count,comment_count,repost_count,thumbnail,collected_at
verena.stoerchle,6703117177014193413,oh hell no #foryoupage #makemefamous #summerwya,https://www.tiktok.com/@verena.stoerchle/video/6703117177014193413,20190616,1560691087,10,12500,197,0,13,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/1f1fb54fa8744ae9b2c48b14172d25f0~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=jHoI1X3hXZLeNDNAfeinE8Zq820%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6703116875724754182,TikTok video #6703116875724754182,https://www.tiktok.com/@verena.stoerchle/video/6703116875724754182,20190616,1560691017,10,6984,77,1,3,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/9d1268297ea443588bb8554357332ba4~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=mau6JeTbXnisU2mwuw%2BmTYZH3fI%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6702549072751889669,TikTok video #6702549072751889669,https://www.tiktok.com/@verena.stoerchle/video/6702549072751889669,20190615,1560558815,15,6324,43,0,0,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/87b7c48767fe42ffa45d919cb29e90d2~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=iWSXEW8Iyg7P7Jrc7HEL%2BQQRj7Q%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6694992332846009605,maybe being outside will make me famous #foryoupage #makemefamous #su...,https://www.tiktok.com/@verena.stoerchle/video/6694992332846009605,20190525,1558799374,10,12100,198,0,21,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/64c47069285448cba6cf9987dcdb5ff3~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=u2M5tcctS%2BKAvNzwgQ%2F3HnJMtgo%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6680919195783269638,TikTok video #6680919195783269638,https://www.tiktok.com/@verena.stoerchle/video/6680919195783269638,20190417,1555522717,10,6420,52,0,5,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/0eed2760ddc648d88ff3de2a305c3c60~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=qVwdKnMLiCFSRcnUqUmv%2Br9jBLc%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6679046176173460742,TikTok video #6679046176173460742,https://www.tiktok.com/@verena.stoerchle/video/6679046176173460742,20190412,1555086620,9,5175,46,1,4,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/f31156d47dcc422ba9b540969c5c561a~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=VZnbK1w1xuRWY4tdIsLL7vmBmUk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6673885711332019461,TikTok video #6673885711332019461,https://www.tiktok.com/@verena.stoerchle/video/6673885711332019461,20190329,1553885106,10,4243,37,0,1,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/f60ec393bcd64822aefb66360d93c9ef~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=pMaVH%2FDoNEXBhQt253xANdXiAgQ%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6673885113543036165,TikTok video #6673885113543036165,https://www.tiktok.com/@verena.stoerchle/video/6673885113543036165,20190329,1553884967,10,3863,35,0,0,https://p19-common-sign.tiktokcdn-us.com/tos-useast5-p-0068-tx/fb52c48096ae455c9f87476fc9bf4405~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=HseqnRGTLknHjTwXUp%2BPrLmyhW4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6670510016065178885,my glasses broke for this tictok so everyone gotta like for respect #...,https://www.tiktok.com/@verena.stoerchle/video/6670510016065178885,20190320,1553099141,6,3767,47,0,3,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/8128ea8a318640358a1f835ee9dd6119~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=ohsB9yq8DwH%2FWDeGl8GCQdivwNU%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
verena.stoerchle,6669176012623842566,like this shit #foryoupage #SHAZAMUp #zankuchallenge,https://www.tiktok.com/@verena.stoerchle/video/6669176012623842566,20190317,1552788544,9,3305,43,0,2,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-p-0068/33aba7249c0c4c3ea9fb7367090154cb~tplv-tiktokx-origin.image?dr=9636&x-expires=1777780800&x-signature=zMyhYjJH70TedwQ6zJ8XoW6Awzk%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=43f4a2f9&idc=useast8,2026-05-01T04:12:15.263193+00:00
